"string","num","next_word","nchar"
NA,21,"could",NA
NA,21,"am",NA
NA,21,"time",NA
NA,21,"that",NA
NA,21,"to",NA
NA,21,"a",NA
NA,21,"be",NA
NA,21,"know",NA
NA,21,"you",NA
NA,21,"a",NA
NA,21,"have",NA
NA,21,"can",NA
NA,21,"of",NA
NA,21,"years",NA
NA,21,"that",NA
NA,21,"to",NA
NA,21,"of",NA
NA,21,"this",NA
NA,21,"i",NA
NA,21,"you",NA
NA,21,"so",NA
NA,21,"ago",NA
NA,21,"of",NA
NA,21,"i",NA
NA,21,"least",NA
NA,21,"years",NA
NA,21,"by",NA
NA,21,"to",NA
NA,21,"of",NA
NA,21,"control",NA
NA,21,"school",NA
NA,21,"to",NA
NA,21,"days",NA
NA,21,"saw",NA
NA,21,"life",NA
NA,21,"a",NA
NA,21,"those",NA
NA,21,"bed",NA
NA,21,"could",NA
NA,21,"at",NA
NA,21,"day",NA
NA,21,"this",NA
NA,21,"you",NA
NA,21,"know",NA
NA,21,"with",NA
NA,21,"the",NA
NA,21,"song",NA
NA,21,"great",NA
NA,20,"that",NA
NA,20,"nike",NA
NA,20,"past",NA
NA,20,"sudden",NA
NA,20,"the",NA
NA,20,"the",NA
NA,20,"year",NA
NA,20,"call",NA
NA,20,"to",NA
NA,20,"reason",NA
NA,20,"protein",NA
NA,20,"can",NA
NA,20,"time",NA
NA,20,"twitter",NA
NA,20,"year",NA
NA,20,"days",NA
NA,20,"for",NA
NA,20,"you",NA
NA,20,"wonderful",NA
NA,20,"about",NA
NA,20,"been",NA
NA,20,"i",NA
NA,20,"ever",NA
NA,20,"way",NA
NA,20,"of",NA
NA,20,"love",NA
NA,20,"to",NA
NA,20,"a",NA
NA,20,"in",NA
NA,20,"i",NA
NA,20,"have",NA
NA,20,"to",NA
NA,20,"you",NA
NA,20,"and",NA
NA,20,"another",NA
NA,20,"century",NA
NA,20,"the",NA
NA,20,"months",NA
NA,20,"in",NA
NA,20,"do",NA
NA,20,"phone",NA
NA,20,"to",NA
NA,20,"of",NA
NA,20,"tweets",NA
NA,20,"out",NA
NA,20,"g",NA
NA,20,"gps",NA
NA,20,"to",NA
NA,20,"the",NA
NA,20,"center",NA
NA,20,"things",NA
NA,20,"watching",NA
NA,20,"accepted",NA
NA,20,"tv",NA
NA,20,"out",NA
NA,20,"the",NA
NA,20,"on",NA
NA,20,"get",NA
NA,20,"month",NA
NA,20,"year",NA
NA,20,"the",NA
NA,20,"the",NA
NA,20,"fun",NA
NA,20,"the",NA
NA,20,"the",NA
NA,20,"thing",NA
NA,20,"fact",NA
NA,20,"bathroom",NA
NA,20,"that",NA
NA,20,"can",NA
NA,20,"the",NA
NA,20,"the",NA
NA,20,"can",NA
NA,20,"in",NA
NA,20,"of",NA
NA,20,"when",NA
NA,20,"do",NA
NA,20,"position",NA
NA,20,"in",NA
NA,20,"time",NA
NA,20,"is",NA
NA,19,"lot",NA
NA,19,"time",NA
NA,19,"face",NA
NA,19,"the",NA
NA,19,"my",NA
NA,19,"to",NA
NA,19,"since",NA
NA,19,"time",NA
NA,19,"that",NA
NA,19,"out",NA
NA,19,"i",NA
NA,19,"year",NA
NA,19,"great",NA
NA,19,"the",NA
NA,19,"reasons",NA
NA,19,"of",NA
NA,19,"the",NA
NA,19,"of",NA
NA,19,"of",NA
NA,19,"to",NA
NA,19,"with",NA
NA,19,"the",NA
NA,19,"it",NA
NA,19,"great",NA
NA,19,"do",NA
NA,19,"how",NA
NA,19,"to",NA
NA,19,"you",NA
NA,19,"get",NA
NA,19,"was",NA
NA,19,"that",NA
NA,19,"time",NA
NA,19,"a",NA
NA,19,"to",NA
NA,19,"be",NA
NA,19,"have",NA
NA,19,"go",NA
NA,19,"to",NA
NA,19,"i",NA
NA,19,"wondering",NA
NA,19,"of",NA
NA,19,"and",NA
NA,19,"reasons",NA
NA,19,"go",NA
NA,19,"of",NA
NA,19,"to",NA
NA,19,"so",NA
NA,19,"the",NA
NA,19,"to",NA
NA,19,"times",NA
NA,19,"the",NA
NA,19,"around",NA
NA,19,"to",NA
NA,19,"the",NA
NA,19,"mercantile",NA
NA,19,"the",NA
NA,19,"who",NA
NA,19,"time",NA
NA,19,"fat",NA
NA,19,"points",NA
NA,19,"about",NA
NA,19,"dollars",NA
NA,19,"i",NA
NA,19,"the",NA
NA,19,"your",NA
NA,19,"the",NA
NA,19,"the",NA
NA,19,"year",NA
NA,19,"earth",NA
NA,19,"exchange",NA
NA,19,"days",NA
NA,19,"chicago",NA
NA,19,"with",NA
NA,19,"when",NA
NA,19,"only",NA
NA,19,"with",NA
NA,19,"try",NA
NA,19,"and",NA
NA,19,"with",NA
NA,19,"need",NA
NA,19,"you",NA
NA,19,"who",NA
NA,19,"you",NA
NA,19,"if",NA
NA,19,"to",NA
NA,19,"to",NA
NA,19,"to",NA
NA,19,"to",NA
NA,19,"of",NA
NA,19,"a",NA
NA,18,"the",NA
NA,18,"ago",NA
NA,18,"time",NA
NA,18,"are",NA
NA,18,"he",NA
NA,18,"that",NA
NA,18,"how",NA
NA,18,"best",NA
NA,18,"i",NA
NA,18,"to",NA
NA,18,"the",NA
NA,18,"the",NA
NA,18,"be",NA
NA,18,"can",NA
NA,18,"long",NA
NA,18,"today",NA
NA,18,"touchdown",NA
NA,18,"gas",NA
NA,18,"the",NA
NA,18,"do",NA
NA,18,"to",NA
NA,18,"to",NA
NA,18,"way",NA
NA,18,"of",NA
NA,18,"follow",NA
NA,18,"again",NA
NA,18,"all",NA
NA,18,"to",NA
NA,18,"fuck",NA
NA,18,"its",NA
NA,18,"about",NA
NA,18,"of",NA
NA,18,"you",NA
NA,18,"better",NA
NA,18,"be",NA
NA,18,"to",NA
NA,18,"of",NA
NA,18,"for",NA
NA,18,"the",NA
NA,18,"share",NA
NA,18,"a",NA
NA,18,"be",NA
NA,18,"a",NA
NA,18,"if",NA
NA,18,"to",NA
NA,18,"a",NA
NA,18,"of",NA
NA,18,"duty",NA
NA,18,"of",NA
NA,18,"as",NA
NA,18,"that",NA
NA,18,"be",NA
NA,18,"a",NA
NA,18,"i",NA
NA,18,"la",NA
NA,18,"s",NA
NA,18,"seconds",NA
NA,18,"to",NA
NA,18,"time",NA
NA,18,"to",NA
NA,18,"you",NA
NA,18,"on",NA
NA,18,"my",NA
NA,18,"the",NA
NA,18,"if",NA
NA,18,"of",NA
NA,18,"where",NA
NA,18,"years",NA
NA,18,"years",NA
NA,18,"to",NA
NA,18,"do",NA
NA,18,"hope",NA
NA,18,"im",NA
NA,18,"know",NA
NA,18,"security",NA
